"","x","val","variable"
"1",0,0.176,"0.5 s"
"2",0.03,0.1835,"0.5 s"
"3",0.06,0.181,"0.5 s"
"4",0.09,0.166,"0.5 s"
"5",0.12,0.1735,"0.5 s"
"6",0.15,0.154,"0.5 s"
"7",0.18,0.153,"0.5 s"
"8",0.21,0.1535,"0.5 s"
"9",0.24,0.146,"0.5 s"
"10",0.27,0.1455,"0.5 s"
"11",0.3,0.148,"0.5 s"
"12",0,0.1625,"1 s"
"13",0.03,0.1715,"1 s"
"14",0.06,0.1575,"1 s"
"15",0.09,0.1635,"1 s"
"16",0.12,0.1385,"1 s"
"17",0.15,0.1825,"1 s"
"18",0.18,0.1555,"1 s"
"19",0.21,0.1665,"1 s"
"20",0.24,0.1515,"1 s"
"21",0.27,0.157,"1 s"
"22",0.3,0.1335,"1 s"
"23",0,0.167,"1.5 s"
"24",0.03,0.162,"1.5 s"
"25",0.06,0.159,"1.5 s"
"26",0.09,0.185,"1.5 s"
"27",0.12,0.174,"1.5 s"
"28",0.15,0.1515,"1.5 s"
"29",0.18,0.151,"1.5 s"
"30",0.21,0.1545,"1.5 s"
"31",0.24,0.1545,"1.5 s"
"32",0.27,0.1445,"1.5 s"
"33",0.3,0.139,"1.5 s"
