"","x","val","variable"
"1",0,0.04,"0.5 s"
"2",0.015,0.028,"0.5 s"
"3",0.03,0.031,"0.5 s"
"4",0.045,0.026,"0.5 s"
"5",0.06,0.034,"0.5 s"
"6",0.075,0.029,"0.5 s"
"7",0.09,0.032,"0.5 s"
"8",0.105,0.034,"0.5 s"
"9",0.12,0.026,"0.5 s"
"10",0.135,0.029,"0.5 s"
"11",0.15,0.032,"0.5 s"
"12",0.165,0.019,"0.5 s"
"13",0.18,0.024,"0.5 s"
"14",0.195,0.027,"0.5 s"
"15",0.21,0.024,"0.5 s"
"16",0.225,0.028,"0.5 s"
"17",0.24,0.023,"0.5 s"
"18",0.255,0.021,"0.5 s"
"19",0.27,0.021,"0.5 s"
"20",0.285,0.02,"0.5 s"
"21",0.3,0.012,"0.5 s"
"22",0,0.022,"1 s"
"23",0.015,0.024,"1 s"
"24",0.03,0.032,"1 s"
"25",0.045,0.025,"1 s"
"26",0.06,0.025,"1 s"
"27",0.075,0.034,"1 s"
"28",0.09,0.028,"1 s"
"29",0.105,0.022,"1 s"
"30",0.12,0.028,"1 s"
"31",0.135,0.026,"1 s"
"32",0.15,0.023,"1 s"
"33",0.165,0.023,"1 s"
"34",0.18,0.03,"1 s"
"35",0.195,0.013,"1 s"
"36",0.21,0.022,"1 s"
"37",0.225,0.027,"1 s"
"38",0.24,0.027,"1 s"
"39",0.255,0.021,"1 s"
"40",0.27,0.021,"1 s"
"41",0.285,0.026,"1 s"
"42",0.3,0.02,"1 s"
"43",0,0.023,"1.5 s"
"44",0.015,0.028,"1.5 s"
"45",0.03,0.03,"1.5 s"
"46",0.045,0.037,"1.5 s"
"47",0.06,0.018,"1.5 s"
"48",0.075,0.026,"1.5 s"
"49",0.09,0.024,"1.5 s"
"50",0.105,0.017,"1.5 s"
"51",0.12,0.02,"1.5 s"
"52",0.135,0.015,"1.5 s"
"53",0.15,0.027,"1.5 s"
"54",0.165,0.031,"1.5 s"
"55",0.18,0.023,"1.5 s"
"56",0.195,0.026,"1.5 s"
"57",0.21,0.019,"1.5 s"
"58",0.225,0.021,"1.5 s"
"59",0.24,0.024,"1.5 s"
"60",0.255,0.02,"1.5 s"
"61",0.27,0.026,"1.5 s"
"62",0.285,0.019,"1.5 s"
"63",0.3,0.019,"1.5 s"
